GameID,Position,Name,Role,IsGhost,NightZero,Winner
1,1,,Mafia,FALSE,FALSE,
1,2,,Mafia,FALSE,FALSE,
1,3,,Mafia,FALSE,FALSE,
1,4,,Cop,FALSE,FALSE,
1,5,,Medic,FALSE,FALSE,
1,6,,Vigilante,FALSE,FALSE,
1,7,,Town,FALSE,FALSE,
1,8,,Town,FALSE,FALSE,
1,9,,Town,FALSE,FALSE,
1,10,,Town,FALSE,FALSE,
1,11,,Town,FALSE,FALSE,
1,12,,Town,FALSE,FALSE,
1,13,,Town,FALSE,FALSE,
1,14,,Town,FALSE,FALSE,
1,15,,Town,FALSE,FALSE,
2,1,,Mafia,FALSE,FALSE,
2,2,,Mafia,FALSE,FALSE,
2,3,,Mafia,FALSE,FALSE,
2,4,,Cop,FALSE,FALSE,
2,5,,Medic,FALSE,FALSE,
2,6,,Vigilante,FALSE,FALSE,
2,7,,Town,FALSE,FALSE,
2,8,,Town,FALSE,FALSE,
2,9,,Town,FALSE,FALSE,
2,10,,Town,FALSE,FALSE,
2,11,,Town,FALSE,FALSE,
2,12,,Town,FALSE,FALSE,
2,13,,Town,FALSE,FALSE,
2,14,,Town,FALSE,FALSE,
2,15,,Town,FALSE,FALSE,
