GameID,Player,Alignment,Result,back_old_mu,back_new_mu,back_new_sigma,back_old_rating,back_new_rating,back_rate_change,sheet_old_mu,sheet_new_mu,sheet_new_sigma,sheet_old_sigma,sheet_old_rating,sheet_new_rating,sheet_rate_change,mu_diff_back_vs_sheet
46,Lou,Mafia,Win,25.0,25.79175963053884,8.272731611951896,850,910,60,25.0,25.7704014745659,8.28206609711067,8.33333333333333,850.0,908.0,58.0,0.02135815597294055
46,Iln,Mafia,Win,25.0,25.79175963053884,8.272731611951896,850,910,60,25.0,25.7704014745659,8.28206609711067,8.33333333333333,850.0,908.0,58.0,0.02135815597294055
46,Lombax,Mafia,Win,25.0,25.79175963053884,8.272731611951896,850,910,60,25.0,25.7704014745659,8.28206609711067,8.33333333333333,850.0,908.0,58.0,0.02135815597294055
46,Jake,Town,Loss,25.0,24.20824036946116,8.272731611951896,850,802,-48,25.0,24.229598525434,8.28206609711067,8.33333333333333,850.0,803.0,-47.0,-0.021358155972841075
46,Carson,Town,Loss,25.0,24.20824036946116,8.272731611951896,850,802,-48,25.0,24.229598525434,8.28206609711067,8.33333333333333,850.0,803.0,-47.0,-0.021358155972841075
46,Creatchee,Town,Loss,25.0,24.20824036946116,8.272731611951896,850,802,-48,25.0,24.229598525434,8.28206609711067,8.33333333333333,850.0,803.0,-47.0,-0.021358155972841075
46,Smit,Town,Loss,25.0,24.20824036946116,8.272731611951896,850,802,-48,25.0,24.229598525434,8.28206609711067,8.33333333333333,850.0,803.0,-47.0,-0.021358155972841075
46,Boobles,Town,Loss,25.0,24.20824036946116,8.272731611951896,850,802,-48,25.0,24.229598525434,8.28206609711067,8.33333333333333,850.0,803.0,-47.0,-0.021358155972841075
46,Badpants,Town,Loss,25.0,24.20824036946116,8.272731611951896,850,802,-48,25.0,24.229598525434,8.28206609711067,8.33333333333333,850.0,803.0,-47.0,-0.021358155972841075
46,Kwix,Town,Loss,25.0,24.20824036946116,8.272731611951896,850,802,-48,25.0,24.229598525434,8.28206609711067,8.33333333333333,850.0,803.0,-47.0,-0.021358155972841075
